Date,Close
8/2/2016,12.71
8/3/2016,13.84
8/4/2016,14.07
8/5/2016,13.77
8/8/2016,13.69
8/9/2016,13.76
8/10/2016,13.78
8/11/2016,14.5
8/12/2016,14.45
8/15/2016,14.49
8/16/2016,14.26
8/17/2016,13.98
8/18/2016,14.19
8/19/2016,14.07
8/22/2016,13.99
8/23/2016,13.98
8/24/2016,13.67
8/25/2016,13.55
8/26/2016,13.42
8/29/2016,13.53
8/30/2016,13.47
8/31/2016,13.46
9/1/2016,13.78
9/2/2016,13.87
9/6/2016,14.19
9/7/2016,14.36
9/8/2016,14.27
9/9/2016,13.64
9/12/2016,13.87
9/13/2016,13.68
9/14/2016,13.69
9/15/2016,13.63
9/16/2016,13.57
9/19/2016,13.36
9/20/2016,13.51
9/21/2016,14.54
9/22/2016,14.82
9/23/2016,15.22
9/26/2016,14.82
9/27/2016,14.7
9/28/2016,14.76
9/29/2016,14.43
9/30/2016,14.28
10/3/2016,14.72
10/4/2016,15.37
10/5/2016,15.35
10/6/2016,15.13
10/7/2016,15.48
10/10/2016,15.81
10/11/2016,15.27
10/12/2016,15.11
10/13/2016,14.82
10/14/2016,14.48
10/17/2016,14.37
10/18/2016,14.39
10/19/2016,14.48
10/20/2016,14.31
10/21/2016,14.23
10/24/2016,14.1
10/25/2016,13.55
10/26/2016,13.13
10/27/2016,12.83
10/28/2016,12.43
10/31/2016,12.98
11/1/2016,12.95
11/2/2016,11.27
11/3/2016,11.09
11/4/2016,11.45
11/7/2016,11.77
11/8/2016,11.52
11/9/2016,11.37
11/10/2016,11.48
11/11/2016,11.72
11/14/2016,11.67
11/15/2016,12.05
11/16/2016,12
11/17/2016,12.46
11/18/2016,12.59
11/21/2016,12.94
11/22/2016,13.1
11/23/2016,13.12
11/25/2016,13.09
11/28/2016,12.84
11/29/2016,12.73
11/30/2016,12.4
12/1/2016,11.93
12/2/2016,11.83
12/5/2016,12.09
12/6/2016,12.36
12/7/2016,12.6
12/8/2016,12.57
12/9/2016,12.37
12/12/2016,12.18
12/13/2016,12.24
12/14/2016,11.84
12/15/2016,12.55
12/16/2016,12.78
12/19/2016,12.92
12/20/2016,12.78
12/21/2016,12.67
12/22/2016,11.94
12/23/2016,11.98
12/27/2016,12.18
12/28/2016,11.87
12/29/2016,11.76
12/30/2016,11.78
1/3/2017,11.88
1/4/2017,11.97
1/5/2017,12.4
1/6/2017,13.08
1/9/2017,12.35
1/10/2017,12.77
1/11/2017,12.73
1/12/2017,12.47
1/13/2017,12.52
1/17/2017,12.77
1/18/2017,12.9
1/19/2017,12.6
1/20/2017,12.41
1/23/2017,12.65
1/24/2017,12.97
1/25/2017,12.82
1/26/2017,13
1/27/2017,12.93
1/30/2017,12.75
1/31/2017,12.61
2/1/2017,12.46
2/2/2017,12.7
2/3/2017,12.64
2/6/2017,12.34
2/7/2017,12.43
2/8/2017,12.5
2/9/2017,12.5
2/10/2017,12.84
2/13/2017,12.76
2/14/2017,12.86
2/15/2017,13.33
2/16/2017,12.92
2/17/2017,12.9
2/21/2017,13.01
2/22/2017,12.9
2/23/2017,12.51
2/24/2017,12.72
2/27/2017,12.79
2/28/2017,12.12
3/1/2017,10.69
3/2/2017,10.66
3/3/2017,10.19
3/6/2017,10.14
3/7/2017,9.81
3/8/2017,9.56
3/9/2017,9.64
3/10/2017,9.72
3/13/2017,10.05
3/14/2017,10.04
3/15/2017,10.23
3/16/2017,10.38
3/17/2017,10.37
3/20/2017,10.27
3/21/2017,9.99
3/22/2017,10.04
3/23/2017,9.89
3/24/2017,9.88
3/27/2017,10.15
3/28/2017,10.11
3/29/2017,10.35
3/30/2017,10.4
3/31/2017,10.63
4/3/2017,10.63
4/4/2017,10.7
4/5/2017,10.59
4/6/2017,10.61
4/7/2017,10.47
4/10/2017,10.57
4/11/2017,10.57
4/12/2017,10.53
4/13/2017,10.29
4/17/2017,10.53
4/18/2017,10.65
4/19/2017,10.87
4/20/2017,11.01
4/21/2017,10.63
4/24/2017,10.71
4/25/2017,10.48
4/26/2017,10.46
4/27/2017,10.68
4/28/2017,10.76
5/1/2017,11.06
5/2/2017,11.39
5/3/2017,10.51
5/4/2017,10.62
5/5/2017,11.66
5/8/2017,11.32
5/9/2017,11.54
5/10/2017,11.42
5/11/2017,11.16
5/12/2017,11.26
5/15/2017,11.32
5/16/2017,13.73
5/17/2017,12.94
5/18/2017,13.13
5/19/2017,13.31
5/22/2017,13.15
5/23/2017,13.31
5/24/2017,13.4
5/25/2017,13.18
5/26/2017,13.45
5/30/2017,13.36
5/31/2017,13.41
6/1/2017,13.55
6/2/2017,13.47
6/5/2017,13.54
6/6/2017,13.49
6/7/2017,13.43
6/8/2017,13.92
6/9/2017,13.45
6/12/2017,13.26
6/13/2017,13.64
6/14/2017,13.57
6/15/2017,13.85
6/16/2017,13.67
6/19/2017,14.2
6/20/2017,13.98
6/21/2017,14.2
6/22/2017,14.68
6/23/2017,15.24
6/26/2017,15.27
6/27/2017,14.8
6/28/2017,15.19
6/29/2017,14.97
6/30/2017,15
7/3/2017,14.72
7/5/2017,14.89
7/6/2017,14.63
7/7/2017,15.02
7/10/2017,15.01
7/11/2017,14.82
7/12/2017,14.93
7/13/2017,15.18
7/14/2017,15.06
7/17/2017,14.77
7/18/2017,14.91
7/19/2017,14.6
7/20/2017,14.5
7/21/2017,14.62
7/24/2017,14.49
7/25/2017,14.65
7/26/2017,14.92
7/27/2017,14.84
7/28/2017,14.64
7/31/2017,14.37
8/1/2017,14.31
8/2/2017,14.02
8/3/2017,13.59
8/4/2017,15.15
8/7/2017,15.46
8/8/2017,15.62
8/9/2017,15.85
8/10/2017,15.9
8/11/2017,16.22
8/14/2017,16.19
8/15/2017,15.64
8/16/2017,15.6
8/17/2017,15.58
8/18/2017,15.59
8/21/2017,15.43
8/22/2017,15.63
8/23/2017,15.61
8/24/2017,15.84
8/25/2017,15.64
8/28/2017,15.83
8/29/2017,16.03
8/30/2017,16.17
8/31/2017,16.37
9/1/2017,16.31
9/5/2017,16.32
9/6/2017,16.62
9/7/2017,17
9/8/2017,16.88
9/11/2017,17.34
9/12/2017,17.62
9/13/2017,17.79
9/14/2017,17.76
9/15/2017,17.17
9/18/2017,17.13
9/19/2017,17.17
9/20/2017,17.18
9/21/2017,17.11
9/22/2017,17.11
9/25/2017,16.9
9/26/2017,17.04
9/27/2017,16.96
9/28/2017,16.82
9/29/2017,16.88
10/2/2017,17.2
10/3/2017,17.03
10/4/2017,16.55
10/5/2017,16.5
10/6/2017,16.72
10/9/2017,16.47
10/10/2017,16.4
10/11/2017,16.34
10/12/2017,16.2
10/13/2017,16.51
10/16/2017,16.36
10/17/2017,16.2
10/18/2017,16.36
10/19/2017,16.19
10/20/2017,16.38
10/23/2017,15.76
10/24/2017,15.74
10/25/2017,15.81
10/26/2017,16.27
10/27/2017,16.75
10/30/2017,16.71
10/31/2017,16.7
11/1/2017,16.73
11/2/2017,16.5
11/3/2017,16.59
11/6/2017,17.15
11/7/2017,16.86
11/8/2017,16.51
11/9/2017,16.51
11/10/2017,16.72
11/13/2017,16.65
11/14/2017,16.59
11/15/2017,16.47
11/16/2017,16.42
11/17/2017,16.47
11/20/2017,16.65
11/21/2017,16.93
11/22/2017,16.87
11/24/2017,17.12
11/27/2017,16.98
11/28/2017,16.98
11/29/2017,16.32
11/30/2017,16.46
12/1/2017,16.83
12/4/2017,17.91
12/5/2017,18.19
12/6/2017,18.74
12/7/2017,18.96
12/8/2017,19.32
12/11/2017,19.93
12/12/2017,20.21
12/13/2017,20.16
12/14/2017,20.14
12/15/2017,20.5
12/18/2017,20.77
12/19/2017,20.31
12/20/2017,20.72
12/21/2017,21.76
12/22/2017,21.69
12/26/2017,21.75
12/27/2017,20.82
12/28/2017,20.65
12/29/2017,20.45
1/2/2018,20.83
1/3/2018,20.41
1/4/2018,20.23
1/5/2018,20.25
1/8/2018,20.32
1/9/2018,20.9
1/10/2018,20.26
1/11/2018,20.56
1/12/2018,19.54
1/16/2018,19.35
1/17/2018,19.74
1/18/2018,19.6
1/19/2018,19.7
1/22/2018,20.03
1/23/2018,19.94
